№;Номер детали;Дубл.;Наименование;Цена закуп (руб, ю, тг);Цена закуп (тг);Ед. измерения;Цена;Остаток;Цена по которой продано;Продано;Купить;Заказ;Счет на оплату ;Итого:;артикул;минимальный остаток;максимальный остаток
207;2108-3709305;;Вертолет 09;370;;шт;3000;4;;;;;;12000;;;
208;;;Вертолёт 2123;550;;шт;4000;0;;;;;;0;Т7321;;
209;2123-3709305;;Вертолет 2123 деш;350;;шт;3000;3;;;;;;9000;66345;;
210;2108-1702024;;Вилка КПП 1-2ой 08;190;;шт;1400;0;;;;;;0;;;
211;2101-1702024;;Вилка КПП 1-2ой 01 ВАЗ;140;513;шт;1000;7;;;;;;7000;Т7322;;
212;;;Вилка КПП 1-2ой 01 под завод;120;;шт;850;2;;;;;;1700;118444;;
213;2108-1702030;;Вилка КПП 3-4ой 08;115;;шт;900;0;;;;;;0;118445;;
214;2107-1702036;;Вилка КПП 5-ой ск 07 ВАЗ;135;;шт;1000;3;;;;;;3000;118446;;
215;;;Вилка КПП 5ой ск 07 под завод ;125;;шт;900;0;;;;;;0;6982;;
216;2110-1702036;;Вилка КПП 5-ой ск 08;110;;шт;800;0;;;;;;0;67469;;
217;2181-1702022;;Вилка КПП 1-2 2181 немец ;;2620;шт;3200;0;;;;;;0;;;
218;2181-1702026;;Вилка КПП 3-4 2181 немец;;2565;шт;3200;0;;;;;;0;120565;;
219;2181-1702034;;Вилка КПП 5ой 2181 немец;;2474;шт;3200;0;;;;;;0;5370;;
220;2101-1601200;;Вилка сцепления 01 ;65;;шт;400;4;;;;;;1600;5422;;
221;2110-1601200;;Вилка сцепления 010;120;950;шт;1200;0;;;;;;0;5423;;
222;2109-1601200;;Вилка сцепления 09;;775;шт;1000;1;;;;;;1000;5392;;
223;2181-1601200;;Вилка сцепления Гранта 2181;220;2970;шт;2000;1;;;;;;2000;115777;;
224;2101-1000102-11;;Вкладыши корень 01 0.25;;712;кт;850;9;;;;;;7650;;;
225;2101-1000102-12;;Вкладыши корень 01 0.50;;712;кт;850;3;;;;;;2550;5036;;
226;2101-1000102-13;;Вкладыши корень 01 0.75;;712;кт;850;5;;;;;;4250;5357;;
227;2101-1000102-14;;Вкладыши корень 01 1.00;;712;кт;850;5;;;;;;4250;5462;;
228;2101-1000102-16;;Вкладыши корень 01 1.25;;712;кт;850;1;;;;;;850;5660;;
229;2101-1000102-17;;Вкладыши корень 01 1.50;;712;кт;850;2;;;;;;1700;5811;;
230;2101-1000102-01;;Вкладыши корень 01 СТД;;712;кт;850;4;;;;;;3400;5160;;
231;2108-1000102-11;;Вкладыши корень 08 0.25;;748;кт;850;5;;;;;;4250;;;
232;2108-1000102-12;;Вкладыши корень 08 0.50;;748;кт;850;2;;;;;;1700;166;;
233;2108-1000102-13;;Вкладыши корень 08 0.75;;748;кт;850;6;;;;;;5100;168;;
234;2108-1000102-14;;Вкладыши корень 08 1.00;;748;кт;850;3;;;;;;2550;170;;
235;2108-1000102-01;;Вкладыши корень 08 СТД;;748;кт;850;5;;;;;;4250;182;;
236;2101-1011240-01;;Вкладыши промвала 01 белые;36;;кт;300;7;;;;;;2100;115902;;
237;2101-1000104-11;;Вкладыши шатунные 01 0.25;;578;кт;700;5;;;;;;3500;;;
238;2101-1000104-12;;Вкладыши шатунные 01 0.50;;578;кт;700;6;;;;;;4200;164;;
239;2101-1000104-13;;Вкладыши шатунные 01 0.75;;578;кт;700;7;;;;;;4900;120899;;
240;2101-1000104-14;;Вкладыши шатунные 01 1.00;;578;кт;700;8;;;;;;5600;115505;;
241;2101-1000104-16;;Вкладыши шатунные 01 1.25;;578;кт;700;2;;;;;;1400;ф3110;;
242;2101-1000104-17;;Вкладыши шатунные 01 1.50;;578;кт;700;0;;;;;;0;;;
243;2101-1000104-01;;Вкладыши шатунные 01 СТД;;578;кт;700;10;;;;;;7000;969;;
244;11184-1000104-20;;Вкладыши шатунные 11184 СТД2;;1274;кт;2000;0;;;;;;0;;;
245;11194-1000104-10;;Вкладыши шатунные 11194 СТД;210;1274;кт;1500;1;;;;;;1500;116163;;
246;11194-1000104-11;;Вкладыши шатунные 11194 0,05;;1274;кт;2000;0;;;;;;0;;;
247;;;Воздухан 06;390;2438;шт;2700;0;;;;;;0;116164;;
248;2105-1109010;;Воздухан 07;550;2438;шт;3500;0;;;;;;0;115178;;
249;;;Воздухан 08;750;;шт;5300;0;;;;;;0;117983;;
250;21082-1109011-10;;Воздухан 2115;280;;шт;2100;1;;;;;;2100;117984;;
251;2112-1109010-10;;Воздухан 2110 гол;140;;шт;1800;0;;;;;;0;;;
252;2112-1109011-10;;Воздухан 2110 в сборе;;1647;шт;2100;1;;;;;;2100;;;
253;21213-1109010-10;;Воздухан 213;520;4173;шт;5000;1;;;;;;5000;117723;;
254;21214-1109010;;Воздухан 214 в сборе;450;3251;шт;4000;1;;;;;;4000;117724;;
255;2172-1109010;;Воздухан 2172 в сборе;;2241;шт;2700;0;;;;;;0;113432;;
256;11184-1109010акпп;;Воздухан Гранта голый АКПП;500;;шт;3800;0;;;;;;0;;;
257;11184-1109010мкпп;;Воздухан Гранта голый МКПП;350;;кт;2700;0;;;;;;0;;;
258;2190-1109010-00;;Воздухан Гранта в сборе МКПП;;15846;шт;19200;0;;;;;;0;;;
