№;Номер детали;Дубл.;Наименование;Цена закуп (руб, ю, тг);Цена закуп (тг);Ед. измерения;Цена;Остаток;Цена по которой продано;Продано;Купить;Заказ;Счет на оплату ;Итого:;артикул;минимальный остаток;максимальный остаток
192;7700112739;;Прокладка ГБЦ 16кл Asam;;3296;шт;5000;2;;;;;;10000;601051;;
193;8200068583;;Прокладка дроссельной заслонки 16кл большая Ларгус Renault;;1332;шт;2000;2;;;;;;4000;600213;;
194;8200068566;;Прокладка дроссельной заслонки 16кл малая Ларгус Renault;;1332;шт;2000;2;;;;;;4000;600212;;
195;7701047579;;Прокладка дроссельной заслонки 8кл Ларгус Renault;;1201;шт;1800;2;;;;;;3600;600189;;
196;7700273486;;Прокладка картера Ларгус Francecar;;839;шт;1500;2;;;;;;3000;600786;;
197;7700104129;;Прокладка корпуса термостата Ларгус Renault;;1891;шт;2600;2;;;;;;5200;600184;;
198;7701471719;;Прокладка крышки клапанов Ларгус 8кл Francecar;;777;шт;1500;2;;;;;;3000;600785;;
199;550201283R;;Пружина задняя Дастер 4х2 Asam;;3690;шт;6000;2;;;;;;12000;601043;;
200;550202720R;;Пружина задняя Дастер 4х4 Asam;;5043;шт;7500;2;;;;;;15000;601021;;
201;6001548731;;Пружина задняя Логан Asam;;3850;шт;6000;2;;;;;;12000;600965;;
202;6001549185;;Пружина передняя Ларгус Asam;;4282;шт;6000;1;;;;;;6000;600964;;
203;620254755R;;Пыльник бампера передний левый Сандеро Asam;;1457;шт;2000;1;;;;;;2000;600898;;
204;6001547949;;Пыльник бампера передний левый Логан Francecar;;807;шт;1500;1;;;;;;1500;600737;;
205;6001547950;;Пыльник бампера передний правый Логан Francecar;;807;шт;1500;1;;;;;;1500;600738;;
206;6001548164;;Пыльник привода внутр правый Ларгус Francecar;;642;шт;1200;2;;;;;;2400;600789;;
207;6001547607;;Пыльник рулевой рейки Ларгус Sasic;;702;шт;1500;2;;;;;;3000;600347;;
208;6001549290;;Пыльник стойки передний в сборе с отбойником Ларгус Asam;;1253;шт;1800;8;;;;;;14400;600140;;
209;;;Р;;;;;0;;;;;;0;;;
210;92100-8028R;;Радиатор кондиционера Renault Luzar с рессивером;;17186;шт;24000;1;;;;;;24000;601130;;
211;8200241088;;Радиатор кондиционера Ларгус Luzar с рессивером;;10424;шт;15000;1;;;;;;15000;600601;;
212;7700838134;;Радиатор охлаждения алюм Ларгус Luzar без конд;;3980;шт;8000;1;;;;;;8000;600600;;
213;214100598R;;Радиатор охлаждения алюм Ларгус Luzar без конд LRc09198;;14991;шт;20000;1;;;;;;20000;120146;;
214;7700428082;;Радиатор охлаждения алюм Логан Лузар с конд;;4624;шт;8000;1;;;;;;8000;600599;;
215;6001549322;;Рамка противотуманной фары Дастер левая Francecar;;643;шт;1200;2;;;;;;2400;600790;;
216;6001549321;;Рамка противоткманной фары Дастер правая Francecar;;643;шт;1200;2;;;;;;2400;600791;;
217;8200838547;;Рамка противотуманной фары Логан левая Francecar;;740;шт;1400;2;;;;;;2800;600623;;
218;8200838548;;Рамка противотуманной фары Логан правая Francecar;;740;шт;1400;2;;;;;;2800;600624;;
219;8201059908;;Рамка радиатора Сандеро в сборе Api;;10894;шт;16000;1;;;;;;16000;600867;;
220;6001547891;;Растяжка передней подвески левая Ларгус Renault;;3009;шт;4500;2;;;;;;9000;600447;;
221;6001547892;;Растяжка передней подвески правая Ларгус Renault;;1985;шт;3500;2;;;;;;7000;600446;;
222;6001547472;;Резинка глушителя Ларгус logem;;322;шт;600;10;;;;;;6000;600155;;
223;6001549117;;Резистор печки Ларгус Luzar;;1874;шт;3000;1;;;;;;3000;121106;;
