№;Номер детали;Дубл.;Наименование;Цена закуп (руб, ю, тг);Цена закуп (тг);Ед. измерения;Цена;Остаток;Цена по которой продано;Продано;Купить;Заказ;Счет на оплату ;Итого:;артикул;минимальный остаток;максимальный остаток
448;2123-2215054В;;Граната внутренняя правая Шеви ВАЗ;1000;;шт;7000;1;;;;;;7000;;;
449;2123-2215054Б;;Граната внутренняя правая Шеви Белмаг шарик;;5123;шт;6000;0;;;;;;0;113965;;
450;2123-2215054;;Граната внутренняя правая Шеви деш;1550;;шт;6400;0;;;;;;0;113964;;
451;2123-2215054F;;Граната внутренняя правая Шеви Фенокс;;5300;шт;6400;1;;;;;;6400;113963;;
452;2108-3414070;;Гранатки рулевой рейки 08;60;;шт;450;3;;;;;;1350;931;;
453;2123-1701138-10;;Грибок 5-ой ск 07 н/об;430;;шт;3300;2;;;;;;6600;236;;
454;2107-1701138-00;;Грибок 5-ой ск 07 ст/об;430;;шт;3300;1;;;;;;3300;1260;;
455;21213-1011228-02;;Грибок маслонасоса 213;90;235;шт;500;12;;;;;;6000;2053;;
456;2110-1001157;;Гусак 010;180;;шт;1700;1;;;;;;1700;;;
457;2110-1041034-20;;Гусак 16 кл с гидрачом;440;;шт;3300;1;;;;;;3300;;;
458;;;Д;;;;;0;;;;;;0;;;
459;2112-1164200-02;;Датчик адсорбера 010 с 1м выходом;170;;шт;1400;1;;;;;;1400;;;
460;21103-1164200-02;;Датчик адсорбера 010 с 2мя выходами;160;;шт;1400;2;;;;;;2800;118674;;
461;1118-1164200;;Датчик адсорбера 1118;250;;шт;2000;2;;;;;;4000;т8997;;
462;2104-3827010-21;;Датчик б/б 04;;1280;шт;1600;0;;;;;;0;т8777;;
463;2107-3827010-01;;Датчик б/б 06;220;;шт;1650;2;;;;;;3300;;;
464;2108-3827010-20;;Датчик б/б 08;210;;шт;1600;2;;;;;;3200;68177;;
465;21213-3827010-01;;Датчик б/б 213;260;;шт;2000;2;;;;;;4000;;;
466;ДУТ1;;Датчик бензобака ДУТ 1;185;;шт;1400;1;;;;;;1400;;;
467;ДУТ2;;Датчик бензобака ДУТ 2;185;;шт;1400;1;;;;;;1400;877;;
468;ДУТ3;;Датчик бензобака ДУТ 3 214;185;;шт;1700;1;;;;;;1700;;;
469;ДУТ4;;Датчик бензобака ДУТ 4;185;;шт;1700;1;;;;;;1700;878;;
470;2190-8118022;;Датчик включения кондиционера Гранта серый;500;;шт;3800;0;;;;;;0;1506;;
471;21703-8127025-J7100;;Датчик включения кондиционера Приора Панасоник черный;3000;;шт;22500;0;;;;;;0;113875;;
472;21703-8127025-10;;Датчик включения кондиционера Приора Халла синий;500;;шт;3800;2;;;;;;7600;117292;;
473;2101-3808600;;Датчик воды на стрелку 06;60;;шт;450;6;;;;;;2700;113876;;
474;;;Датчик воды на стрелку 06 Лузар;;200;шт;250;0;;;;;;0;;;
