№;Номер детали;Дубл.;Наименование;Цена закуп (руб, ю, тг);Цена закуп (тг);Ед. измерения;Цена;Остаток;Цена по которой продано;Продано;Купить;Заказ;Счет на оплату ;Итого:;артикул;минимальный остаток;максимальный остаток
;;;;;;;;;;;;;Итого:;20248320;;;
;;;Б;;;;;;;;;;;;;;
724;2105-8402070Р;;Отбойник капота регулируемый 2104, 2105, 2107 Балаково;;22;шт;100;30;;;;;3000;120;7262;;
725;2108-8402214-01;;Отбойник капота регулируемый 2108 Балаково;;19;шт;100;34;;;;;3400;120;7185;;
726;2110-8402214Р;;Отбойник капота регулируемый 2110 Балаково;;40;шт;100;23;;;;;2300;120;7268;;
727;2106-8401016-17;;Очки фар                                                                                            ;;202;кт;300;4;;;;;1200;360;1113;;
728;2106-8401016-17хром;;Очки фар 2106 /НИКЕЛЬ/;;371;кт;600;6;;;;;3600;720;3416;;
729;;;П;;;;;0;;;;;0;0;;;
730;2121-5401065-00;;Панель боковины 2121 АвтоВаз в сборе лев;;17508;шт;25000;1;;;;;25000;30000;115628;;
731;2121-5401064-00;;Панель боковины 2121 АвтоВАЗ в сборе пр;;17842;шт;25000;1;;;;;25000;30000;115588;;
732;2105-5601082;;Панель задка 2105 АвтоВаз;;2464;шт;3500;0;;;;;0;4200;;;
733;2106-5601082-82;;Панель задка 2106 АвтоВаз;;2533;шт;3500;0;;;;;0;4200;;;
734;2121-5601082-82;;Панель задка 2121 АвтоВАЗ;;5231;шт;7000;0;;;;;0;8400;;;
