№;Номер;Наименование;Цена руб (Бадин);Цена тг (Астана);Ед. измерения;Цена;Остаток;Продано;Купить;Заявка;Заказ;Цена общая;Цена + 20%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;3500290;Итого;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Б;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71;2121-2803015;Бампер 213 в сборе зад;790;5122;шт;6500;2;;;;;13000;7800;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72;8450000244;Бампер Ларгус пер Рено Групп под окраску;;10470;шт;13500;1;;;;;13500;16200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73;8450000244;Бампер Ларгус пер Рено Групп не под окраску;;9366;шт;12000;0;;;;;0;14400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74;8450000256;бампер задний под окрас Ларгус;;6730;шт;9000;1;;;;;9000;10800;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75;8450000257;Бампер задний Ларгус не для окраски ;;5852;шт;9000;0;;;;;0;10800;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76;бар-кор;Бар Лада коричневый;350;2100;шт;2500;2;;;;;5000;3000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77;бар-чер;Бар Лада черный;350;2100;шт;2500;2;;;;;5000;3000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78;бар-чербел;Бар Лада черно-белый;350;2100;шт;2500;2;;;;;5000;3000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
79;2106-6102033;батоны 2106;;760;кт;1200;2;;;;;2400;1440;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
80;2107-2803038-БЕЛЕ;Болт бампера хром 2107 ДЛИНН.;;76;шт;100;19;;;;;1900;120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
