№;Номер детали;Дубл.;Наименование;Цена закуп (руб, ю, тг);Цена закуп (тг);Ед. измерения;Цена;Остаток;Цена по которой продано;Продано;Купить;Заказ;Счет на оплату ;Итого:;артикул;минимальный остаток;максимальный остаток
100;75317;;Ключ Г-образный под шпильку 17мм Сервис Ключ;;571;шт;750;1;;;;;;750;68330;;
101;70100;;"Ключ комбинированный ""Сервис ключ"" 10мм";;154;шт;200;2;;;;;;400;8373;;
102;70110;;"Ключ комбинированный ""Сервис ключ"" 11мм";;136;шт;200;1;;;;;;200;66842;;
103;70120;;"Ключ комбинированный ""Сервис ключ"" 12мм";;171;шт;220;2;;;;;;440;67993;;
104;70140;;"Ключ комбинированный ""Сервис ключ"" 14мм";;197;шт;250;2;;;;;;500;6361;;
105;70150;;"Ключ комбинированный ""Сервис ключ"" 15мм";;232;шт;300;2;;;;;;600;66843;;
106;70160;;"Ключ комбинированный ""Сервис ключ"" 16мм";;259;шт;350;2;;;;;;700;ц2631;;
107;70170;;"Ключ комбинированный ""Сервис ключ"" 17мм";;315;шт;420;2;;;;;;840;6137;;
108;70200;;"Ключ комбинированный ""Сервис ключ"" 20мм";;324;шт;430;2;;;;;;860;67977;;
109;70220;;"Ключ комбинированный ""Сервис ключ"" 22мм";;518;шт;700;2;;;;;;1400;66844;;
110;70240;;"Ключ комбинированный ""Сервис ключ"" 24мм";;527;шт;700;2;;;;;;1400;636;;
111;76510;;Ключ протяжки головки 2108 Сервис ключ;;440;шт;600;2;;;;;;1200;у8321;;
112;75501;;Ключ разводной 150мм Сервис Ключ;;501;шт;700;1;;;;;;700;119080;;
113;75503;;Ключ разводной 200мм Сервис Ключ;;652;шт;850;1;;;;;;850;119081;;
114;75505;;Ключ разводной 250мм Сервис Ключ;;821;шт;1100;1;;;;;;1100;119082;;
115;70406;;"Ключ рожковый ""Сервис ключ"" 8х10";;116;шт;150;2;;;;;;300;638;;
116;70408;;"Ключ рожковый ""Сервис ключ"" 10х12";;127;шт;170;2;;;;;;340;66577;;
117;70409;;"Ключ рожковый ""Сервис ключ"" 10х13";;145;шт;200;2;;;;;;400;67496;;
118;70410;;"Ключ рожковый ""Сервис ключ"" 12х13";;135;шт;180;2;;;;;;360;635;;
119;70411;;"Ключ рожковый ""Сервис ключ"" 12х14";;164;шт;220;2;;;;;;440;67980;;
120;70412;;"Ключ рожковый ""Сервис ключ"" 13х14";;157;шт;200;2;;;;;;400;637;;
121;70414;;"Ключ рожковый ""Сервис ключ"" 13х15";;213;шт;280;2;;;;;;560;67981;;
122;70415;;"Ключ рожковый ""Сервис ключ"" 13х17";;217;шт;280;2;;;;;;560;66850;;
123;70416;;"Ключ рожковый ""Сервис ключ"" 14х15";;225;шт;300;2;;;;;;600;66846;;
124;70417;;"Ключ рожковый ""Сервис ключ"" 14х17";;211;шт;280;2;;;;;;560;634;;
125;70420;;"Ключ рожковый ""Сервис ключ"" 16х18";;208;шт;280;2;;;;;;560;67989;;
126;ИНСТР-394;;"Ключ рожковый ""Сервис ключ"" 17х19";;313;шт;400;2;;;;;;800;66851;;
127;70426;;"Ключ рожковый ""Сервис ключ"" 19х22";;327;шт;430;2;;;;;;860;66852;;
128;70428;;"Ключ рожковый ""Сервис ключ"" 22х24";;463;шт;600;2;;;;;;1200;66853;;
129;70429;;"Ключ рожковый ""Сервис ключ"" 24х27";;573;шт;750;1;;;;;;750;67497;;
130;71350;;Ключ свечной 16мм ВАЗ 2112 Сервис Ключ;;163;шт;220;2;;;;;;440;68351;;
131;71360;;Ключ свечной 2101 Сервис ключ;;102;шт;130;2;;;;;;260;639;;
132;AK-S-01;;Ключ свечной Airline 16/21;;613;шт;800;3;;;;;;2400;116259;;
133;70538;;Ключ ступицы 2108 30мм Сервис Ключ;;633;шт;820;2;;;;;;1640;118934;;
134;70625;;Ключ трубочка 2101 8х10 Сервис Ключ;;87;шт;120;4;;;;;;480;119075;;
135;СА-030-13L;;Компрессор Airline Master L с фонарем 30л/мин 8АТМ;;3590;шт;4700;2;;;;;;9400;с7036;;
136;СА-012-08О;;Компрессор Airline Smart O c фонарем серый 12л/мин 7АТМ;;1617;шт;2200;2;;;;;;4400;118225;;
137;СА-040-15S;;Компрессор Airline Х3 40л/мин 10АТМ;;3789;шт;5000;2;;;;;;10000;121037;;
138;70667;;Контролька 6-24 В (игла) Сервис Ключ;;298;шт;450;1;;;;;;450;120763;;
139;70665;;Контролька 6-24 В Сервис Ключ ;;142;шт;250;1;;;;;;250;121610;;
140;;;Л;;;;;0;;;;;;0;;;
141;АВХИМ-277;;ЛАВР Автошампунь-концент 1л (лимон) BiBiCare 4120;;228;шт;300;3;;;;;;900;66397;;
142;4302;;ЛАВР Герметик радиатора 0.28;;249;шт;350;5;;;;;;1750;8689;;
143;AB-S-02;;Лопата Airline саперная складная 46см;;1028;шт;1500;2;;;;;;3000;ц0447;;
144;;;М;;;;;0;;;;;;0; ;;
145;APR-M-05;;Манометр Airline 5 атм пласт корпус;;213;шт;300;4;;;;;;1200;116267;;
146;APR-D-04;;Манометр Airline 7 атм цифровой;;1173;шт;1600;2;;;;;;3200;116408;;
147;APR-M-02;;Манометр Airline 7.5 атм мет корпус;;520;шт;800;3;;;;;;2400;116243;;
148;72310;;Метчик ручной М10х1.25 (к-кт из 2шт) Сервис Ключ;;279;шт;380;1;;;;;;380;Т0250;;
149;72312;;Метчик ручной М12х1.25 (к-кт из 2шт) Сервис Ключ;;369;шт;480;1;;;;;;480;Т0251;;
150;72314;;Метчик ручной М14х1.25 (к-кт из 2шт) Сервис Ключ;;436;шт;580;1;;;;;;580;Т0243;;
151;72304;;Метчик ручной М4х0.7 (к-кт из 2шт) Сервис Ключ;;186;шт;250;1;;;;;;250;Т0239;;
